,stat_idx,oc_idx,x,loc_name,country,Lat,Lon,data_years,CI,Contributor
217,391A,Pxxx,165,Clipperton-A,France,10-17N,109-13W,1985-1985,47,NOAA/PMEL
218,391B,Pxxx,165,Clipperton-B,France,10-17N,109-13W,1986-1988,100,NOAA/PMEL
219,391C,Pxxx,165,Clipperton-C,France,10-17N,109-13W,2007-2008,99,SHOM
220,391D,Pxxx,165,Clipperton-D,France,10-17N,109-13W,2011-2012,100,SHOM
221,393A,Pxxx,xxx,Puerto Vallarta,Mexico,20-37N,105-15W,1973-1991,40,UNAM
222,394A,Pxxx,xxx,Salina Cruz,Mexico,16-10N,095-12W,1952-1991,81,UNAM
223,395A,Pxxx,163,Manzanillo-A,Mexico,19-03N,104-20W,1953-1982,95,UNAM
224,395B,Pxxx,163,Manzanillo-B,Mexico,19-04N,104-18W,1992-2013,87,National Ocean Service
225,396A,Pxxx,xxx,Puntarenas,Costa Rica,09-58N,084-50W,1970-1980,71,SERMAR
226,397A,Pxxx,xxx,Guaymas,Mexico,27-56N,110-54W,1953-1986,81,UNAM
227,398A,Pxxx,xxx,Marsden Point,New Zealand,35-50S,174-30E,1975-2017,83,LINZ
228,399A,Pxxx,148,Lord Howe-A,Australia,31-31S,159-04E,1958-1967,80,Scripps Inst. Ocean.
229,399B,Pxxx,148,Lord Howe-B,Australia,31-31S,159-04E,1991-2012,98,"Nat. Tidal Ctr., BOM"
230,400A,Pxxx,331,Lombrum,Papua New Guinea,02-02S,147-23E,1994-2016,93,"Nat. Tidal Ctr., BOM"
231,401A,Pxxx,xxx,Apia-A,Western Samoa,13-49S,171-45W,1954-1971,88,Scripps Inst. Ocean.
232,401B,Pxxx,xxx,Apia-B,Western Samoa,13-49S,171-45W,1993-2016,97,"Nat. Tidal Ctr., BOM"
233,402A,Pxxx,xxx,Lautoka,Fiji,17-36S,177-26E,1992-2016,99,"Nat. Tidal Ctr., BOM"
234,403A,Pxxx,xxx,Jackson-A,New Zealand,43-59S,168-37E,1999-2012,100,"Nat. Tidal Ctr., BOM"
235,403B,Pxxx,xxx,Jackson-B,New Zealand,43-59S,168-37E,2013-2016,99,"Nat. Tidal Ctr., BOM"
236,410A,Pxxx,xxx,Lungsurannaga,Indonesia,02-06N,117-45E,1943-1944,95,Japan Ocean. Data Cen.
237,411A,Pxxx,xxx,Balikpapan,Indonesia,01-16S,116-48E,1942-1943,100,Japan Ocean. Data Cen.
238,414A,Pxxx,xxx,Bajor,Indonesia,00-41S,117-25E,1943-1944,97,Japan Ocean. Data Cen.
239,419A,Pxxx,xxx,Lembar,Indonesia,08-44S,116-04E,2008-2017,59,UH Sea Level Center
240,420A,Pxxx,xxx,Saumlaki,Indonesia,07-59S,131-17E,2008-2017,99,UH Sea Level Center
241,540A,Pxxx,155,Prince Rupert,Canada,54-19N,130-19W,1909-2016,79,MEDS
242,542A,Pxxx,156,Tofino,Canada,49-09N,125-55W,1909-2016,75,MEDS
243,543A,Pxxx,xxx,"Victoria,BC",Canada,48-26N,123-22W,1909-2016,99,MEDS
244,547A,Pxxx,xxx,"Barbers Point,HI",USA,21-19N,158-07W,2009-2017,92,UH Sea Level Center
245,548A,Pxxx,xxx,"Kaumalapau,HI",USA,20-47N,156-54W,2007-2015,98,UH Sea Level Center
246,550A,Pxxx,xxx,"Massacre Bay,AK",USA,52-50N,173-12E,1943-1966,88,National Ocean Service
247,551A,Pxxx,158,"San Francisco,CA",USA,37-48N,122-28W,1897-2016,100,National Ocean Service
248,552A,Pxxx,xxx,"Kawaihae,HI",USA,20-02N,155-50W,1989-2016,92,National Ocean Service
249,553A,Pxxx,xxx,"Port Allen,HI",USA,21-54N,159-36W,1989-1997,98,National Ocean Service
250,554A,Pxxx,159,"La Jolla,CA",USA,32-52N,117-15W,1924-2016,94,National Ocean Service
251,555A,Pxxx,xxx,"Monterey,CA",USA,36-36N,121-53W,1973-2016,100,National Ocean Service
252,556A,Pxxx,xxx,"Crescent City,CA",USA,41-45N,124-11W,1933-2016,91,National Ocean Service
253,557A,Pxxx,xxx,"Port Orford,OR",USA,42-44N,124-30W,1978-2016,87,National Ocean Service
254,558A,Pxxx,xxx,"Neah Bay,WA",USA,48-22N,124-37W,1934-2016,97,National Ocean Service
255,559A,Pxxx,154,"Sitka,AK",USA,57-03N,135-21W,1938-2016,99,National Ocean Service
256,560A,Pxxx,150,"Seward-A,AK",USA,60-07N,149-26W,1925-1932,98,National Ocean Service
257,560B,Pxxx,150,"Seward-B,AK",USA,60-07N,149-26W,1944-1949,77,National Ocean Service
258,560C,Pxxx,150,"Seward-C,AK",USA,60-07N,149-26W,1967-2016,89,National Ocean Service
259,561A,Pxxx,xxx,"Seldovia,AK",USA,59-26N,151-43W,1975-2016,88,National Ocean Service
260,562A,Pxxx,xxx,"Valdez,AK",USA,61-08N,146-22W,1973-2016,89,National Ocean Service
261,564A,Pxxx,xxx,"Willapa Bay,WA",USA,46-43N,123-58W,1972-2014,96,National Ocean Service
262,565A,Pxxx,xxx,"Port San Luis,CA",USA,35-11N,120-46W,1948-2016,90,National Ocean Service
263,567A,Pxxx,xxx,"Los Angeles,CA",USA,33-43N,118-16W,1923-2016,99,National Ocean Service
264,569A,Pxxx,xxx,"San Diego,CA",USA,32-43N,117-10W,1906-2016,98,National Ocean Service
