,stat_idx,oc_idx,x,loc_name,country,Lat,Lon,data_years,CI,Contributor
570,708A,Axxx,334,"Salvador,USCGS",Brazil,12-58S,038-31W,1955-1964,92,National Ocean Service
571,708B,Axxx,334,Salvador-B,Brazil,12-58S,038-31W,2004-2017,100,UHSLC/DHN/IBGE
572,709A,Axxx,195,"R.Janeiro,USCGS",Brazil,22-56S,043-08W,1955-1968,70,National Ocean Service
573,710A,Axxx,xxx,Suape,Brazil,08-21S,034-57W,1982-1984,98,LPAO/INPE
574,711A,Axxx,xxx,Luis Corriea,Brazil,02-52S,041-40W,1984-1985,100,LPAO/INPE
575,712A,Axxx,xxx,"Recife,USCGS",Brazil,08-03S,034-52W,1955-1968,86,National Ocean Service
576,714A,Axxx,193,Porto Rio Grande,Brazil,32-06S,052-06W,1981-2003,22,Dir. Hidro. e Navegaca
577,715A,Axxx,200,Madeira,Brazil,02-34S,044-23W,1988-2003,85,Dir. Hidro. e Navegaca
578,716A,Axxx,xxx,Santana-A,Brazil,00-03S,051-11W,1970-1972,100,Dir. Hidro. e Navegaca
579,716B,Axxx,xxx,Santana-B,Brazil,00-03S,051-11W,1975-1976,100,Dir. Hidro. e Navegaca
580,716C,Axxx,xxx,Santana-C,Brazil,00-03S,051-11W,1984-1985,100,Dir. Hidro. e Navegaca
581,716D,Axxx,xxx,Santana-D,Brazil,00-03S,051-11W,1996-1997,100,Dir. Hidro. e Navegaca
582,716E,Axxx,xxx,Santana-E,Brazil,00-04S,051-10W,2006-2007,93,IBGE
583,717A,Axxx,xxx,Santana SSN-A,Brazil,00-04S,051-10W,1994-1995,99,Dir. Hidro. e Navegaca
584,717B,Axxx,xxx,Santana SSN-B,Brazil,00-04S,051-10W,1999-2000,99,Dir. Hidro. e Navegaca
585,718A,Axxx,351,Imbituba,Brazil,28-14S,048-39W,2001-2010,86,IBGE
586,719A,Axxx,352,Macae,Brazil,22-14S,041-28W,2001-2008,88,IBGE
587,720A,Axxx,xxx,South Caicos,United Kingdom,21-29N,071-32W,1992-1992,76,NOAA/AOML
588,721A,Axxx,213,"Progreso-A, Yuc.",Mexico,21-17N,089-40W,1980-1984,98,UNAM
589,721B,Axxx,213,"Progreso-B, Yuc.",Mexico,21-17N,089-40W,1999-2004,63,Secretaria de Marina
590,721C,Axxx,213,"Progreso-C, Yuc.",Mexico,21-18N,089-40W,2012-2013,93,UNAM
591,722A,Axxx,266,Tristan da Cunha,United Kingdom,37-03S,012-18W,2011-2013,74,NOC
592,723A,Axxx,xxx,"Lagos, Algarve",Portugal,37-06N,008-40W,1986-2000,72,Inst. Geogr. Port.
593,724A,Axxx,xxx,Puerto Cabezas,Nicaragua,14-03N,083-23W,2001-2002,100,National Ocean Service
594,727A,Axxx,xxx,Nassau,Bahamas,25-05N,077-21W,1904-1905,100,National Ocean Service
595,728A,Axxx,xxx,Point Fortin,Trinidad/Tobago,10-06N,061-25W,1987-1996,61,Trin/Tob. Hydro. Unit
596,729A,Axxx,192,Mar Del Plata-A,Argentina,38-03S,057-33W,2004-2009,98,UH Sea Level Center
597,729B,Axxx,192,Mar Del Plata-B,Argentina,38-02S,057-32W,2010-2017,97,UH Sea Level Center
598,730A,Axxx,189,Base Prat-A,Chile,62-29S,059-38W,1984-2002,96,SHOA
599,730B,Axxx,189,Base Prat-B,Chile,62-29S,059-40W,2010-2013,64,SHOA
600,731A,Axxx,191,Puerto Madryn,Argentina,42-46S,065-02W,2010-2017,99,UH Sea Level Center
601,732A,Axxx,xxx,"Isabel Segunda,PR",USA,18-09N,065-27W,2009-2016,90,National Ocean Service
602,733A,Axxx,xxx,"Esperanza,PR",USA,18-06N,065-28W,2005-2016,90,National Ocean Service
603,734A,Axxx,xxx,"Yabucoa,PR",USA,18-03N,065-50W,2008-2016,95,National Ocean Service
604,735A,Axxx,xxx,"Arecibo,PR",USA,18-29N,066-42W,2008-2016,96,National Ocean Service
605,736A,Axxx,xxx,"Mayaguez,PR",USA,18-13N,067-10W,2008-2016,100,National Ocean Service
606,737A,Axxx,xxx,San Andres,Colombia,12-34N,081-42W,1997-2017,67,IDEAM
607,738A,Axxx,xxx,Santa Marta,Colombia,11-14N,074-13W,2012-2017,87,UH Sea Level Center
608,739A,Axxx,xxx,El Porvenir,Panama,09-34N,078-57W,2012-2017,100,UH Sea Level Center
609,740A,Axxx,xxx,"Eastport,ME",USA,44-54N,066-59W,1929-2016,94,National Ocean Service
610,741A,Axxx,xxx,"Boston,MA",USA,42-21N,071-03W,1921-2016,99,National Ocean Service
611,742A,Axxx,xxx,"Woods Hole,MA",USA,41-31N,070-40W,1957-2016,91,National Ocean Service
612,743A,Axxx,xxx,"Nantucket,MA",USA,41-17N,070-06W,1965-2016,96,National Ocean Service
613,744A,Axxx,xxx,"New London,CT",USA,41-21N,072-05W,1938-2016,95,National Ocean Service
614,745A,Axxx,xxx,"New York,NY",USA,40-42N,074-01W,1920-2016,87,National Ocean Service
615,746A,Axxx,xxx,"Cape May,NJ",USA,38-58N,074-58W,1965-2016,91,National Ocean Service
616,747A,Axxx,xxx,"Lewes,DE",USA,38-47N,075-07W,1957-2016,97,National Ocean Service
617,749A,Axxx,xxx,"Chesapeake BBT,VA",USA,36-58N,076-07W,1975-2016,100,National Ocean Service
618,750A,Axxx,xxx,"Wilmington,NC",USA,34-14N,077-57W,1935-2016,98,National Ocean Service
619,752A,Axxx,289,"Fort Pulaski,GA",USA,32-02N,080-54W,1935-2016,96,National Ocean Service
620,753A,Axxx,xxx,"Mayport,FL",USA,30-24N,081-26W,1928-2000,99,National Ocean Service
621,754A,Axxx,xxx,"Cocoa Beach,FL",USA,28-22N,080-36W,1994-1996,98,National Ocean Service
622,755A,Axxx,332,"Virginia Key,FL",USA,25-44N,080-10W,1994-2016,99,National Ocean Service
623,757A,Axxx,xxx,"Naples,FL",USA,26-08N,081-48W,1965-2016,97,National Ocean Service
624,759A,Axxx,xxx,"St. Petersburg,FL",USA,27-46N,082-38W,1946-2016,97,National Ocean Service
625,760A,Axxx,xxx,"Apalachicola,FL",USA,29-44N,084-59W,1976-2016,99,National Ocean Service
626,761A,Axxx,xxx,"Panama City Bh,FL",USA,30-13N,085-53W,1993-2016,75,National Ocean Service
627,762A,Axxx,288,"Pensacola,FL",USA,30-24N,087-13W,1923-2016,96,National Ocean Service
628,763A,Axxx,xxx,Dauphin Island AL,USA,30-15N,088-05W,1996-2016,78,National Ocean Service
629,764A,Axxx,xxx,"South Pass,LA",USA,28-59N,089-08W,1993-1999,90,National Ocean Service
630,765A,Axxx,xxx,"Grand Isle,LA",USA,29-16N,089-57W,1980-2016,97,National Ocean Service
631,766A,Axxx,xxx,"Sabine Pass N, TX",USA,29-44N,093-52W,1985-2016,98,National Ocean Service
632,767A,Axxx,xxx,"Galveston,P.Pier",USA,29-17N,094-47W,1957-2011,97,National Ocean Service
633,769A,Axxx,xxx,"Rockport,TX",USA,28-01N,097-03W,1937-2016,76,National Ocean Service
634,770A,Axxx,xxx,"Corpus Cristi,TX",USA,27-35N,097-13W,1983-2016,96,National Ocean Service
635,772A,Axxx,xxx,"Port Isabel,TX",USA,26-04N,097-13W,1977-2016,97,National Ocean Service
636,773A,Axxx,xxx,"Clearwater Bch,FL",USA,27-59N,082-50W,1996-2016,97,National Ocean Service
637,774A,Axxx,xxx,"Port Canaveral,FL",USA,28-25N,080-36W,1994-2016,98,National Ocean Service
638,775A,Axxx,217,"Galveston,Pier21",USA,29-19N,094-48W,1904-2016,97,National Ocean Service
639,776A,Axxx,xxx,Punta Cana,Dominica Republi,18-30N,068-23W,2010-2017,100,UH Sea Level Center
640,777A,Axxx,xxx,Puerto Plata,Dominica Republi,19-48N,070-42W,2010-2017,100,UH Sea Level Center
641,778A,Axxx,xxx,Willemstad,Curacao,12-06N,068-57W,2011-2012,100,UH Sea Level Center
642,779A,Axxx,xxx,C.Carmen,Mexico,18-32N,091-50W,1957-1979,57,UNAM
643,780A,Axxx,xxx,Puerto Cortes-A,Honduras,15-50N,087-57W,1948-1968,99,National Ocean Service
644,780B,Axxx,xxx,Puerto Cortes-B,Honduras,15-50N,087-52W,2001-2002,100,National Ocean Service
645,781A,Axxx,xxx,Belize,British Honduras,17-30N,088-11W,1964-1967,84,National Ocean Service
646,782A,Axxx,210,Port Royal,Jamaica,17-56N,076-51W,1965-1971,99,National Ocean Service
647,783A,Axxx,xxx,"Fajardo-A,PR",USA,18-20N,065-38W,1921-1923,95,National Ocean Service
648,783B,Axxx,xxx,"Fajardo-B,PR",USA,18-20N,065-38W,2008-2016,97,National Ocean Service
649,784A,Axxx,xxx,Puerto Castilla,Honduras,16-01N,086-02W,1955-1967,78,National Ocean Service
650,786A,Axxx,xxx,Roseau,Dominica,15-19N,061-23W,2011-2015,97,UH Sea Level Center
651,789A,Axxx,xxx,Prickley Bay,Grenada,12-00N,061-46W,2011-2017,97,UH Sea Level Center
652,799A,Axxx,209,Port-au-Prince,Haiti,18-34N,072-21W,2011-2017,97,UH Sea Level Center
653,800A,Axxx,322,Andenes,Norway,69-19N,16-09E,1991-2014,86,NHS
654,801A,Axxx,xxx,Honningsvag,Norway,70-59N,25-59E,1988-2014,95,NHS
655,802A,Axxx,xxx,Maloy,Norway,61-56N,05-07E,1986-2014,95,NHS
656,803A,Axxx,234,Rorvik,Norway,64-52N,11-15E,1969-2014,97,NHS
657,804A,Axxx,321,Tregde,Norway,58-00N,007-34E,1927-2008,94,NHS
658,805A,Axxx,323,Vardo,Norway,70-20N,31-06E,1947-2014,66,NHS
659,806A,Axxx,xxx,Nouakchott,Mauritania,17-59N,016-02W,2007-2015,92,NOC-UK
660,807A,Axxx,349,Alexandria,Egypt,31-13N,029-55E,2009-2016,91,NOC-UK
661,816A,Axxx,350,Port Sonara,Cameroon,04-00S,009-08E,2008-2011,83,SNR/D
662,819A,Axxx,233,Goteborg-Torsh.,Sweden,57-41N,011-47E,1967-2014,100,SMHI
663,822A,Axxx,242,Brest,France,48-23N,004-30W,1846-2016,92,SHOM
664,823A,Axxx,345,Ny-Alesund,Norway,78-56N,11-57E,1976-2014,92,NHS
665,824A,Axxx,205,Marseille,France,43-17N,005-21E,1849-2016,60,SHOM
666,825A,Axxx,284,Cuxhaven,Germany,53-52N,008-43E,1917-2016,100,BFG
667,826A,Axxx,341,Stockholm,Sweden,59-20N,018-05E,1889-2014,99,SMHI
668,830A,Axxx,243,La Coruna,Spain,43-22N,008-24W,1943-2013,97,Inst. Espanol Ocean.
669,832A,Axxx,342,Rothera,United Kingdom,67-34S,068-08W,2002-2011,74,NOC
670,833A,Axxx,224,Nain,Canada,56-33N,061-41W,1963-2015,45,MEDS
671,834A,Axxx,239,Malin Head,Ireland,55-22N,007-20W,1958-2001,95,QUB
672,835A,Axxx,xxx,Castletownsend,Ireland,51-32N,009-11W,2004-2008,87,J.Murphy HMRC
673,837A,Axxx,xxx,Gedser,Denmark,54-34N,011-56E,1891-2012,96,DMI
674,838A,Axxx,xxx,Hornbaek,Denmark,56-06N,012-28E,1891-2012,96,DMI
675,850A,Axxx,202,Ile Royale,France,05-17N,052-35W,1989-2016,36,SHOM
676,851A,Axxx,xxx,"Ile Royale,A.Leg.",France,05-17N,052-35W,1989-2007,43,SHOM
677,860A,Axxx,xxx,"Puerto Moreles,QR",Mexico,20-52N,086-52W,2007-2013,89,UNAM
678,861A,Axxx,xxx,"Celestun,Yuk.",Mexico,20-52N,090-24W,2010-2011,100,UNAM
679,862A,Axxx,xxx,"Telchac,Yuk.",Mexico,21-20N,089-19W,2011-2013,92,UNAM
680,878A,Axxx,xxx,Bullen Bay,Curacao,12-11N,069-01W,2013-2017,100,UH Sea Level Center
